date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:41:52	47651/47651	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/components-nestable-list.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/components-nestable-list.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:52	58011/58011	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/components-range-sliders.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/components-range-sliders.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:53	53242/53242	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/components-masonry.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/components-masonry.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:53	53495/53495	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/components-animation.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/components-animation.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:54	46885/46885	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/components-sweet-alert.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/components-sweet-alert.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:54	50281/50281	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/components-treeview.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/components-treeview.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:54	41998/41998	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/components-tour.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/components-tour.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:54	69836/69836	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/icons-glyphicons.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/icons-glyphicons.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:55	157783/157783	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/icons-materialdesign.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/icons-materialdesign.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:55	151868/151868	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/icons-ionicons.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/icons-ionicons.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:56	168969/168969	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/icons-fontawesome.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/icons-fontawesome.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:56	86152/86152	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/icons-themifyicon.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/icons-themifyicon.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:57	77043/77043	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/icons-simple-line.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/icons-simple-line.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:57	77022/77022	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/icons-weather.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/icons-weather.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:57	88322/88322	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/icons-typicons.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/icons-typicons.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:58	77728/77728	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/form-elements.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/form-elements.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:58	107340/107340	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/form-advanced.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/form-advanced.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:59	53334/53334	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/form-validation.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/form-validation.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:59	53648/53648	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/form-pickers.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/form-pickers.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:59	58728/58728	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/form-wizard.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/form-wizard.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:42:00	47787/47787	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/form-mask.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/form-mask.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:42:00	42138/42138	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/form-summernote.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/form-summernote.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:42:00	42207/42207	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/form-wysiwig.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/form-wysiwig.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:42:00	44673/44673	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/form-code-editor.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/form-code-editor.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:42:01	41111/41111	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/form-uploads.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/form-uploads.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:42:01	45624/45624	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/form-xeditable.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/form-xeditable.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:42:02	51946/51946	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/form-image-crop.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/form-image-crop.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:42:02	50577/50577	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/tables-basic.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/tables-basic.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:42:02	225448/225448	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/tables-datatable.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/tables-datatable.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:42:03	98035/98035	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/tables-editable.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/tables-editable.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:42:03	54082/54082	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/tables-responsive.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/tables-responsive.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:42:03	81822/81822	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/tables-foo-tables.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/tables-foo-tables.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:42:04	81917/81917	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/tables-bootstrap.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/tables-bootstrap.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:42:04	87765/87765	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/tables-tablesaw.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/tables-tablesaw.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:42:04	40602/40602	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/tables-jsgrid.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/tables-jsgrid.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:42:05	50882/50882	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/chart-flot.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/chart-flot.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:42:05	46637/46637	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/chart-morris.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/chart-morris.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:42:06	43447/43447	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/chart-chartjs.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/chart-chartjs.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:42:06	57769/57769	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/chart-peity.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/chart-peity.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:42:06	46835/46835	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/chart-chartist.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/chart-chartist.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:42:07	42741/42741	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/chart-c3.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/chart-c3.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:42:07	42817/42817	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/chart-nvd3.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/chart-nvd3.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:42:07	41922/41922	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/chart-sparkline.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/chart-sparkline.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
